country_code,country,year,political_stability_score,indicator,unit,yoy_change,stability_category
AFG,Afghanistan,2021,-2.51867604255676,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.18404507637024015,Very Low Stability
AFG,Afghanistan,2022,-2.54495596885681,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.02627992630005016,Very Low Stability
AFG,Afghanistan,2023,-2.48408055305481,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.06087541580200018,Very Low Stability
ALB,Albania,1996,-0.336625128984451,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,Low Stability
ALB,Albania,1998,-0.544004201889038,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.20737907290458696,Low Stability
ALB,Albania,2000,-0.539989590644836,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.004014611244201993,Low Stability
ALB,Albania,2002,-0.297719180583954,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.24227041006088196,Low Stability
ALB,Albania,2003,-0.309780240058899,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.012061059474944957,Low Stability
ALB,Albania,2004,-0.427259683609009,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.11747944355011003,Low Stability
ALB,Albania,2005,-0.505047976970673,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.07778829336166404,Low Stability
ALB,Albania,2006,-0.508157312870026,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.0031093358993529163,Low Stability
ALB,Albania,2007,-0.203974649310112,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.30418266355991397,Low Stability
ALB,Albania,2008,-0.0305009130388498,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.1734737362712622,Low Stability
ALB,Albania,2009,-0.0451405122876167,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.014639599248766903,Low Stability
ALB,Albania,2010,-0.191482901573181,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.1463423892855643,Low Stability
ALB,Albania,2011,-0.282379418611526,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.09089651703834498,Low Stability
ALB,Albania,2012,-0.143631592392921,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.13874782621860499,Low Stability
ALB,Albania,2013,0.0919297859072685,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.2355613783001895,Moderate Stability
ALB,Albania,2014,0.485986232757568,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.3940564468502995,Moderate Stability
ALB,Albania,2015,0.341639041900635,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.14434719085693304,Moderate Stability
ALB,Albania,2016,0.337447881698608,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.004191160202026978,Moderate Stability
ALB,Albania,2017,0.373770743608475,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.036322861909867,Moderate Stability
ALB,Albania,2018,0.366779267787933,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.0069914758205419925,Moderate Stability
ALB,Albania,2019,0.11010505259037,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.256674215197563,Moderate Stability
ALB,Albania,2020,0.0886125192046165,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.021492533385753493,Moderate Stability
ALB,Albania,2021,0.196371927857399,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.10775940865278248,Moderate Stability
ALB,Albania,2022,0.106261312961578,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.09011061489582099,Moderate Stability
ALB,Albania,2023,0.183348968625069,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.077087655663491,Moderate Stability
DZA,Algeria,1996,-1.78331053256989,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,Very Low Stability
DZA,Algeria,1998,-1.87890470027924,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.09559416770935014,Very Low Stability
DZA,Algeria,2000,-1.43257737159729,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.44632732868195,Very Low Stability
DZA,Algeria,2002,-1.63456511497498,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.20198774337769,Very Low Stability
DZA,Algeria,2003,-1.75440907478333,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.11984395980835005,Very Low Stability
DZA,Algeria,2004,-1.35918843746185,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.39522063732148016,Very Low Stability
DZA,Algeria,2005,-0.913666009902954,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.44552242755889593,Low Stability
DZA,Algeria,2006,-1.1264134645462,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.21274745464324607,Very Low Stability
DZA,Algeria,2007,-1.15058553218842,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.024172067642219908,Very Low Stability
DZA,Algeria,2008,-1.09584629535675,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.054739236831669924,Very Low Stability
DZA,Algeria,2009,-1.19691348075867,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.10106718540192006,Very Low Stability
DZA,Algeria,2010,-1.25936758518219,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.06245410442351984,Very Low Stability
DZA,Algeria,2011,-1.36056065559387,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.10119307041168013,Very Low Stability
DZA,Algeria,2012,-1.32504332065582,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.03551733493804998,Very Low Stability
DZA,Algeria,2013,-1.20237147808075,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.12267184257507013,Very Low Stability
DZA,Algeria,2014,-1.19053518772125,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.011836290359499957,Very Low Stability
DZA,Algeria,2015,-1.09078657627106,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.09974861145018998,Very Low Stability
DZA,Algeria,2016,-1.09974193572998,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.00895535945892001,Very Low Stability
DZA,Algeria,2017,-0.919614315032959,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.18012762069702104,Low Stability
DZA,Algeria,2018,-0.842107713222504,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.07750660181045499,Low Stability
DZA,Algeria,2019,-1.05585384368896,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.21374613046645596,Very Low Stability
DZA,Algeria,2020,-0.847820401191711,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.20803344249724898,Low Stability
DZA,Algeria,2021,-0.992457151412964,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.144636750221253,Low Stability
DZA,Algeria,2022,-0.650652348995209,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.341804802417755,Low Stability
DZA,Algeria,2023,-0.577885270118713,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.07276707887649592,Low Stability
ASM,American Samoa,2004,0.7369264960289,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,Moderate Stability
ASM,American Samoa,2005,0.746284067630768,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.009357571601868009,Moderate Stability
ASM,American Samoa,2006,0.703987658023834,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.04229640960693404,Moderate Stability
ASM,American Samoa,2007,0.967931151390076,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.263943493366242,Moderate Stability
ASM,American Samoa,2008,0.984463036060333,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.016531884670257013,Moderate Stability
ASM,American Samoa,2009,0.945724666118622,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.03873836994171098,Moderate Stability
ASM,American Samoa,2010,0.919146716594696,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.026577949523926003,Moderate Stability
ASM,American Samoa,2011,0.933990180492401,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.014843463897704967,Moderate Stability
ASM,American Samoa,2012,0.952990829944611,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.019000649452210028,Moderate Stability
ASM,American Samoa,2013,0.928985774517059,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.024005055427552047,Moderate Stability
ASM,American Samoa,2014,1.08068346977234,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.15169769525528098,High Stability
ASM,American Samoa,2015,1.15167808532715,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.07099461555481001,High Stability
ASM,American Samoa,2016,1.15855598449707,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.006877899169920099,High Stability
ASM,American Samoa,2017,1.18432366847992,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.02576768398285001,High Stability
ASM,American Samoa,2018,1.16629731655121,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.01802635192871005,High Stability
ASM,American Samoa,2019,1.1449339389801,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.021363377571109954,High Stability
ASM,American Samoa,2020,1.09020864963531,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.05472528934479004,High Stability
ASM,American Samoa,2021,1.0668408870697,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.02336776256561013,High Stability
ASM,American Samoa,2022,1.12317395210266,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.056333065032960095,High Stability
ASM,American Samoa,2023,1.11422121524811,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.008952736854550114,High Stability
AND,Andorra,1996,1.16952216625214,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,High Stability
AND,Andorra,1998,1.18287515640259,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.013352990150449884,High Stability
AND,Andorra,2000,1.16698145866394,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.015893697738649903,High Stability
AND,Andorra,2002,1.28276693820953,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.11578547954558993,High Stability
AND,Andorra,2003,1.46513116359711,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.18236422538758013,High Stability
AND,Andorra,2004,1.40210604667664,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.06302511692047008,High Stability
AND,Andorra,2005,1.38492727279663,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.01717877388000999,High Stability
AND,Andorra,2006,1.34965407848358,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.03527319431304998,High Stability
AND,Andorra,2007,1.34201574325562,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.007638335227960091,High Stability
AND,Andorra,2008,1.33847212791443,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.003543615341189854,High Stability
AND,Andorra,2009,1.29713952541351,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.04133260250091997,High Stability
AND,Andorra,2010,1.27827215194702,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.018867373466490145,High Stability
AND,Andorra,2011,1.30248832702637,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.024216175079350144,High Stability
AND,Andorra,2012,1.29035115242004,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.012137174606330126,High Stability
AND,Andorra,2013,1.28392601013184,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.006425142288200014,High Stability
AND,Andorra,2014,1.28659331798553,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.0026673078536900707,High Stability
AND,Andorra,2015,1.36598539352417,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.07939207553863992,High Stability
AND,Andorra,2016,1.38275027275085,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.01676487922668013,High Stability
AND,Andorra,2017,1.39288973808289,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.01013946533203991,High Stability
AND,Andorra,2018,1.39124858379364,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.0016411542892500464,High Stability
AND,Andorra,2019,1.57736670970917,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.18611812591553,High Stability
AND,Andorra,2020,1.58867537975311,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.011308670043939983,High Stability
AND,Andorra,2021,1.58125936985016,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.007416009902949883,High Stability
AND,Andorra,2022,1.58598840236664,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.004729032516479936,High Stability
AND,Andorra,2023,1.58346593379974,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.0025224685668998603,High Stability
AGO,Angola,1996,-2.06191730499268,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,Very Low Stability
AGO,Angola,1998,-2.31805849075317,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.25614118576049005,Very Low Stability
AGO,Angola,2000,-2.03817391395569,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.27988457679748,Very Low Stability
AGO,Angola,2002,-1.5761798620224,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.4619940519332899,Very Low Stability
AGO,Angola,2003,-1.0073858499527,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.5687940120696999,Very Low Stability
AGO,Angola,2004,-1.0631206035614,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.05573475360870006,Very Low Stability
AGO,Angola,2005,-0.885178327560425,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.177942276000975,Low Stability
AGO,Angola,2006,-0.539453446865082,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.345724880695343,Low Stability
AGO,Angola,2007,-0.666658759117126,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.127205312252044,Low Stability
AGO,Angola,2008,-0.361787378787994,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.304871380329132,Low Stability
AGO,Angola,2009,-0.34759184718132,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.014195531606673972,Low Stability
AGO,Angola,2010,-0.226182341575623,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.12140950560569702,Low Stability
AGO,Angola,2011,-0.369237810373306,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.143055468797683,Low Stability
AGO,Angola,2012,-0.389322549104691,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.020084738731385,Low Stability
AGO,Angola,2013,-0.39123347401619,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.0019109249114990234,Low Stability
AGO,Angola,2014,-0.333232045173645,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.058001428842545,Low Stability
AGO,Angola,2015,-0.50538581609726,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.17215377092361495,Low Stability
AGO,Angola,2016,-0.321580082178116,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.18380573391914395,Low Stability
AGO,Angola,2017,-0.387895494699478,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.06631541252136197,Low Stability
AGO,Angola,2018,-0.347208589315414,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.040686905384064,Low Stability
AGO,Angola,2019,-0.368411600589752,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.02120301127433799,Low Stability
AGO,Angola,2020,-0.599917888641357,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.231506288051605,Low Stability
AGO,Angola,2021,-0.710480749607086,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.11056286096572898,Low Stability
AGO,Angola,2022,-0.630108535289764,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.080372214317322,Low Stability
AGO,Angola,2023,-0.34150505065918,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.28860348463058394,Low Stability
ATG,Antigua And Barbuda,1996,0.717076897621155,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,Moderate Stability
ATG,Antigua And Barbuda,1998,0.728511989116669,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.011435091495514027,Moderate Stability
ATG,Antigua And Barbuda,2000,0.713235020637512,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.01527696847915705,Moderate Stability
ATG,Antigua And Barbuda,2002,0.792559921741486,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.07932490110397405,Moderate Stability
ATG,Antigua And Barbuda,2003,0.865690112113953,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.07313019037246693,Moderate Stability
ATG,Antigua And Barbuda,2004,1.08463561534882,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.21894550323486694,High Stability
ATG,Antigua And Barbuda,2005,0.830512523651123,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.25412309169769687,Moderate Stability
ATG,Antigua And Barbuda,2006,0.799820721149445,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.030691802501678023,Moderate Stability
ATG,Antigua And Barbuda,2007,0.802670180797577,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.002849459648131991,Moderate Stability
ATG,Antigua And Barbuda,2008,0.81389182806015,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.01122164726257302,Moderate Stability
ATG,Antigua And Barbuda,2009,0.721793532371521,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.09209829568862904,Moderate Stability
ATG,Antigua And Barbuda,2010,0.904999375343323,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.18320584297180198,Moderate Stability
ATG,Antigua And Barbuda,2011,0.957588255405426,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.05258888006210305,Moderate Stability
ATG,Antigua And Barbuda,2012,0.975788056850433,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.01819980144500699,Moderate Stability
ATG,Antigua And Barbuda,2013,0.958863377571106,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.01692467927932706,Moderate Stability
ATG,Antigua And Barbuda,2014,0.984550714492798,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.025687336921692006,Moderate Stability
ATG,Antigua And Barbuda,2015,0.987564265727997,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.0030135512351990856,Moderate Stability
ATG,Antigua And Barbuda,2016,0.859249651432037,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.12831461429596003,Moderate Stability
ATG,Antigua And Barbuda,2017,0.73206090927124,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.127188742160797,Moderate Stability
ATG,Antigua And Barbuda,2018,0.823102116584778,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.09104120731353804,Moderate Stability
ATG,Antigua And Barbuda,2019,0.938079655170441,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.11497753858566295,Moderate Stability
ATG,Antigua And Barbuda,2020,0.929578840732574,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.008500814437866988,Moderate Stability
ATG,Antigua And Barbuda,2021,0.949669897556305,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.020091056823731024,Moderate Stability
ATG,Antigua And Barbuda,2022,0.938082098960876,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.011587798595429022,Moderate Stability
ATG,Antigua And Barbuda,2023,0.923393249511719,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.014688849449157049,Moderate Stability
ARG,Argentina,1996,0.111376881599426,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,Moderate Stability
ARG,Argentina,1998,-0.134649589657784,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.24602647125721,Low Stability
ARG,Argentina,2000,0.0958238765597343,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.2304734662175183,Moderate Stability
ARG,Argentina,2002,-0.776545405387878,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.8723692819476123,Low Stability
ARG,Argentina,2003,-0.359838128089905,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.41670727729797297,Low Stability
ARG,Argentina,2004,-0.610934913158417,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.25109678506851196,Low Stability
ARG,Argentina,2005,-0.0417749434709549,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.5691599696874621,Low Stability
ARG,Argentina,2006,0.0019677628297358,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.0437427063006907,Moderate Stability
ARG,Argentina,2007,0.0977966338396072,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.09582887100987139,Moderate Stability
ARG,Argentina,2008,-0.0877556875348091,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.1855523213744163,Low Stability
ARG,Argentina,2009,-0.234854578971863,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.1470988914370539,Low Stability
ARG,Argentina,2010,-0.0847978666424751,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.1500567123293879,Low Stability
ARG,Argentina,2011,0.158993661403656,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.2437915280461311,Moderate Stability
ARG,Argentina,2012,0.103040546178818,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.05595311522483801,Moderate Stability
ARG,Argentina,2013,0.0653142631053925,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.0377262830734255,Moderate Stability
ARG,Argentina,2014,-0.0051218713633716,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.0704361344687641,Low Stability
ARG,Argentina,2015,0.0087641347199678,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.0138860060833394,Moderate Stability
ARG,Argentina,2016,0.197749897837639,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.18898576311767118,Moderate Stability
ARG,Argentina,2017,0.162542164325714,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.03520773351192499,Moderate Stability
ARG,Argentina,2018,0.0069098123349249,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.1556323519907891,Moderate Stability
ARG,Argentina,2019,-0.0978230908513069,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.1047329031862318,Low Stability
ARG,Argentina,2020,-0.0719974040985107,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.0258256867527962,Low Stability
ARG,Argentina,2021,0.000530058634467423,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.07252746273297812,Moderate Stability
ARG,Argentina,2022,-0.0985943302512169,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.09912438888568433,Low Stability
ARG,Argentina,2023,-0.127517908811569,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.02892357856035209,Low Stability
ARM,Armenia,1996,-0.364998608827591,Political Stability and Absence of Violence/Terrorism: Estimate,Index,,Low Stability
ARM,Armenia,1998,-0.662787318229675,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.29778870940208396,Low Stability
ARM,Armenia,2000,-0.68286794424057,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.020080626010894997,Low Stability
ARM,Armenia,2002,-0.255784124135971,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.42708382010459894,Low Stability
ARM,Armenia,2003,0.236966237425804,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.492750361561775,Moderate Stability
ARM,Armenia,2004,-0.116337485611439,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.353303723037243,Low Stability
ARM,Armenia,2005,-0.0663353949785233,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.050002090632915705,Low Stability
ARM,Armenia,2006,-0.261023759841919,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.1946883648633957,Low Stability
ARM,Armenia,2007,0.150905832648277,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.411929592490196,Moderate Stability
ARM,Armenia,2008,-0.0068530277349054,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.1577588603831824,Low Stability
ARM,Armenia,2009,0.227863356471062,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.2347163842059674,Moderate Stability
ARM,Armenia,2010,0.071855328977108,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.156008027493954,Moderate Stability
ARM,Armenia,2011,-0.06386898458004,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.135724313557148,Low Stability
ARM,Armenia,2012,0.154794976115227,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.218663960695267,Moderate Stability
ARM,Armenia,2013,0.11038514226675,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.04440983384847699,Moderate Stability
ARM,Armenia,2014,-0.297135800123215,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.407520942389965,Low Stability
ARM,Armenia,2015,-0.256798654794693,Political Stability and Absence of Violence/Terrorism: Estimate,Index,0.040337145328522006,Low Stability
ARM,Armenia,2016,-0.667951107025146,Political Stability and Absence of Violence/Terrorism: Estimate,Index,-0.41115245223045305,Low Stability
